1分钟牵手,"型男：把你的手借给我一分钟
美女：干嘛
型男：不要问那么多，只是一分钟，又不会少块肉
美女：好吧，只是一分钟哦. （如果对方和你争论这件事，不用理她，直接强硬的把手牵起来）
型男：我听人说，两个人第一次牵手就能决定他们能走多远
美女：什么意思
型男：因为恋爱这件事多数时候是男人主动，所以男人肯定是喜欢女人的，但是女人却不一定. 如果在牵手的时候，女人的手像男人的手一样握的很紧，说明她在意这个男人，但是如果女人的手握的很松，则一般会有两种情况，一种是女人经常被男人握着手，她知道男人会抓紧她，所以她不需要握的很紧，另一种是她并不喜欢这个男人
美女：哈哈，还有这种说法
型男：咱俩这种（拿起对方的手看看），我觉得会走的很远吧
（说完话就甩开对方的手，这会制造一个心理波动，过一会再牵起来）
如果女人的手正是我们说的那种握的很松就用下面的方式应对. 
型男：说说吧，你是哪种？
美女：哈哈，我也不知道. 
型男：哪种我都不喜欢，来给我握紧点，再紧点. 对的，乖啦"
520拍银杏叶照片发给妹子,"美女：银杏叶很漂亮
型男：去摘一片给我
美女：大胆
型男：把它放在书的第520页/害羞
美女：我不够高，只能帮你在地上捡一片了
型男：我抱着你你去摘或谁叫你小时候那么挑食，要不就能长到一米五了
美女：不要
型男：哎呀，你好重呀
美女：我轻得很
型男：我这里有个祖传的秘籍
美女：什么秘籍
型男：减肥秘籍
美女：什么
型男：把好吃的都给我，哈哈"
520拍银杏叶照片发给妹子,"美女：银杏叶很漂亮
型男：去摘一片给我
美女：我才不去呢
型男：摘了这片幸运之页，你会遇到很对像我这样的帅气欧巴哦
美女：不信
型男：信x哥得永生"
C阶段美女：不拒绝,"型男：发张香艳的自拍，让我有继续勾引你的欲望
美女：不行
型男：通常拒绝我的人我都会报警（拒绝小帅比是很不环保的行为，我要告你污染环境）（骚聊）"
Dhv展示,"Dhv怎么刷？妹子看到的就是穿着. 言谈举止，听到的就是我们说出来的
a. 人生中最难忘的事情
b. 最有成东西就感的事情
c. 比较有趣的
d. 你的情感经历
e. 童年往事"
Dhv展示,"Dhv的几种方式：
1. 跟他人聊天间接dhv
2. 给他人提供帮助间接dhv
3. 在合理的情况下，给她帮助顺便dhv
4. 和她聊天展现隐性dhv
5. 在工作中投入会直接展现dhv"
Dhv展示,你可以尝试用探探搜索附近的男人，看下他们的展示面做的怎么样，我相信大部分兄弟的展示面都称不上展示面，无论打扮，发型，穿衣打扮都不行
Dhv展示,"做饭时间偶尔可以用用
“刚在我在做辣子兔儿;
“我想吃;
稍微努力一点就可以吃到了"
Dhv展示,"别人问你工作时，注意说话方式
比如：我经常会到处搬砖有效降低朋友圈距离感"
Dhv展示,"型男：“我感觉你好像有点小紧张. （女生这时候会解释其实自己今天不舒服，不在状态）
型男：我知道，你平时用这种态度对别人，他们可能会觉得你不太友善. 但是我看得出，你不是. 在一个深一点的层面上，你是一个很感性，很敏感的，小女生（这三个字要加强语气）"
Dhv展示,"型男：我们见面的时候只有2种可能性
美女：哪两种？
型男：你见到我幸福的晕倒或者是我见到你被你吓倒. （用骄傲风趣+讲故事）被她要电话后结束聊天"
Dhv展示,"妹子问：你在干嘛
1. 刚开完会嗓子痛死了，准备沏杯茶润润嗓子
2. 手臂好酸，在陪着几个朋友打高尔夫"
Dhv展示,"美女：你在干嘛呢？
型男：那在陪温州来的朋友逛街呢. 
美女：哦哦，那很辛苦诶. 
型男：你都不安慰我. “噘嘴”表情
美女：摸摸头. 
型男：我180，你摸不到我"
